event_id,symbol,fiscal_year,bad_news_realized,late_disclosure_q75,postponed,revision_count,predicted_bad_news_risk,risk_bucket,actual_disclosure,event_trading_date,car_m1_p1,car_0_p5,car_1_p20,car_m5_m1
148,002049,2023,0,0,1,1,0.0071771691233425685,middle_60_risk,2024-04-18,2024-04-18,0.010833594090348342,-0.03394705508059692,-0.08688213644399312,0.03422011936653235
149,600790,2023,1,0,0,0,0.975098781287807,top_20_risk,2024-04-11,2024-04-11,-0.021438320448887382,-0.07489222863946188,-0.07827745588857782,0.0016356527277751054
150,601231,2022,0,0,0,0,,not_test_year,2023-04-04,2023-04-04,0.03497338759570068,-0.01322795241756558,-0.2944148706822568,-0.033218712392245386
151,002099,2021,1,0,0,1,,not_test_year,2022-04-23,2022-04-25,0.04719837791764092,0.051378868203056705,0.05045404651505614,-0.05314168745432091
152,603093,2023,0,0,0,0,0.0013222325861209617,bottom_20_risk,2024-03-09,2024-03-11,-0.01441185341545681,0.011741342750714145,-0.004868042496677161,-0.02384732651137722
153,002109,2023,1,0,0,0,0.9952490350453833,top_20_risk,2024-04-26,2024-04-26,0.027779641107526398,0.1291182529066861,0.024783189298531405,0.0683236558963547
154,601369,2021,0,1,0,0,,not_test_year,2022-04-28,2022-04-28,0.09384580128953934,0.1411210604684514,0.15691926875255424,-0.06981141042514905
155,603879,2023,1,1,0,0,0.993083876486304,top_20_risk,2024-04-30,2024-05-06,-0.22402548312636406,-0.3171849587001939,-0.6072200579562211,-0.09699087950097318
156,002302,2023,0,0,0,0,0.004204876892708961,bottom_20_risk,2024-04-03,2024-04-03,0.03602217327370161,0.04529889333712067,-0.13831749603338905,0.008274181920824297
157,002612,2021,0,0,0,0,,not_test_year,2022-04-23,2022-04-25,-0.037893991966904905,-0.05603897572323413,0.08842202296714186,0.18650772864302212
158,605069,2023,1,1,0,0,0.9927730816673862,top_20_risk,2024-04-30,2024-04-30,0.1374723835020616,0.11722736747822027,0.07559790064822736,0.08729387213311912
159,601369,2023,0,0,0,0,0.00794725585468428,middle_60_risk,2024-04-18,2024-04-18,0.046247321596641466,-0.01796870329544986,-0.14577774754767148,0.06696604475920853
160,600782,2021,0,0,0,0,,not_test_year,2022-04-26,2022-04-26,-0.028548378256853413,0.0007485706149060745,-0.0007226599897289798,-0.09391964378374862
161,603486,2023,1,1,0,0,0.9842446863636457,top_20_risk,2024-04-27,2024-04-29,0.1431614689505013,0.21653788444903055,0.13216533125467633,0.057279106082669284
162,603979,2023,0,0,0,0,0.0024961147842437735,bottom_20_risk,2024-04-26,2024-04-26,-0.025157740765260006,-0.03413073439313219,0.04321944361345775,-0.04991434085284385
